ID,NAME,GLOTTOCODE,PROXY
AKKALA_SAMI,AKKALA_SAMI,akka1237,
AKLANON,AKLANON,akla1241,
AKOLET,AKOLET,akol1237,
AKUKRAY,AKUKRAY,akru1241,
AKUM,AKUM,akum1238,
AKUNNU,AKUNNU,akpe1248,
AKUNTSU,AKUNTSU,akun1241,
AKWA,AKWA,akwa1248,
ALABAMA,ALABAMA,alab1237,
ALAGO,ALAGO,alag1242,
ALAGWA,ALAGWA,alag1248,
ALAK,ALAK,alak1253,
ALAMBLAK,ALAMBLAK,alam1246,
ALAWA,ALAWA,alaw1244,
ALBANIAN,ALBANIAN,tosk1239,
ALBANIAN_GHEG,ALBANIAN_GHEG,gheg1238,
ALEGE,ALEGE,aleg1238,
ALEUT,ALEUT,aleu1260,
ALFENDIO_2,ALFENDIO_2,tape1242,
ALGONQUIN,ALGONQUIN,algo1255,
ALI,ALI,alii1240,
ALLADIAN,ALLADIAN,alla1248,
ALLENTIAC,ALLENTIAC,alle1238,
ALOAPAM_ZAPOTEC,ALOAPAM_ZAPOTEC,aloa1235,
ALOR,ALOR,alor1247,
ALSATIAN,ALSATIAN,swis1247,
ALSEA,ALSEA,alse1251,
ALTAI,ALTAI,sout2694,
ALTA_NORTHERN,ALTA_NORTHERN,nort2875,
ALTA_SOUTHERN,ALTA_SOUTHERN,sout2905,
ALUNE,ALUNE,alun1238,
ALUR,ALUR,alur1250,
ALUTOR,ALUTOR,alut1245,
ALYAWARRA,ALYAWARRA,alya1239,
AMA,AMA,amap1240,
AMAHAI,AMAHAI,amah1245,
AMAHUACA,AMAHUACA,amah1246,
AMAIMON,AMAIMON,amai1246,
AMAL,AMAL,amal1242,
AMAM,AMAM,amam1246,
AMANAB,AMANAB,aman1265,
AMANAYE,AMANAYE,aman1266,
AMARA,AMARA,amar1272,
AMARAKAERI,AMARAKAERI,amar1274,
AMASI,AMASI,mant1267,
AMATLAN_ZAPOTEC,AMATLAN_ZAPOTEC,amat1238,
AMA_AFRICA,AMA_AFRICA,amas1236,
AMBAI,AMBAI,amba1265,
AMBAKICH,AMBAKICH,amba1269,
AMBEL,AMBEL,waig1244,
AMBELE,AMBELE,ambe1247,
AMBLONG,AMBLONG,ambl1237,
AMBON_MALEIS,AMBON_MALEIS,ambo1250,
AMDANG,AMDANG,amda1238,
AMELE,AMELE,amel1241,
AMGOTRO,AMGOTRO,dera1245,
AMHARIC,AMHARIC,amha1245,
AMI,AMI,amii1238,
AMO,AMO,amoo1242,
AMOL,AMOL,amol1235,
AMONDAVA,AMONDAVA,amun1246,
AMPALE,AMPALE,safe1240,
AMPARI_PA,AMPARI_PA,ampa1238,
AMRI_KARBI,AMRI_KARBI,amri1238,
AMTO,AMTO,amto1250,
AMUESHA,AMUESHA,yane1238,
AMURDAK,AMURDAK,amar1271,
ANAANG,ANAANG,anaa1238,
ANAKALANG,ANAKALANG,anak1240,
ANAL,ANAL,anal1239,
ANAMBE,ANAMBE,anam1249,
ANA_TINGA,ANA_TINGA,anat1248,
ANDAI,ANDAI,anda1283,
ANDAMAN_CREOLE_HINDI,ANDAMAN_CREOLE_HINDI,anda1280,
ANDAQUI,ANDAQUI,anda1286,
ANDARUM,ANDARUM,anda1284,
ANDI,ANDI,andi1255,
ANDOA,ANDOA,ando1255,
ANDOQUE,ANDOQUE,ando1256,
ANDOQUERO,ANDOQUERO,ando1254,
ANEITYUM_2,ANEITYUM_2,anei1239,
ANEM,ANEM,anem1249,
ANEME_WAKE,ANEME_WAKE,anem1248,
ANFILLO,ANFILLO,anfi1235,
ANGAATAHA,ANGAATAHA,anga1290,
ANGAL,ANGAL,anga1293,
ANGAL_HENENG,ANGAL_HENENG,anga1292,
ANGAMI,ANGAMI,anga1288,
ANGAS,ANGAS,ngas1240,
ANGAUA,ANGAUA,nend1239,
ANGGURUK_YALI,ANGGURUK_YALI,angg1239,
ANGIKA,ANGIKA,angi1238,
ANGIYAKMIN_FAIWOL,ANGIYAKMIN_FAIWOL,faiw1243,
ANGLOROMANI,ANGLOROMANI,angl1239,
ANGOLAR,ANGOLAR,ango1258,
ANGOR,ANGOR,ango1254,
ANGORAM,ANGORAM,ango1255,
ANGUTHIMRI,ANGUTHIMRI,angu1242,
ANI,ANI,anii1246,
ANIB,ANIB,kanu1277,
ANII,ANII,anii1245,
ANIMERE,ANIMERE,anim1239,
ANIWA,ANIWA,futu1245,
ANKAVE,ANKAVE,anka1246,
ANMATYERRE,ANMATYERRE,anma1239,
ANONG,ANONG,nung1282,
ANOR,ANOR,anor1241,
ANSUS,ANSUS,ansu1237,
ANUFO,ANUFO,anuf1239,
ANUKI,ANUKI,anuk1239,
ANUTA,ANUTA,anut1237,
ANYI,ANYI,anyi1245,
ANYUAK,ANYUAK,anua1242,
AORE,AORE,aore1237,
APALAI,APALAI,apal1257,
APANIEKRA,APANIEKRA,cane1242,
APATANI,APATANI,apat1240,
APIAKA,APIAKA,apia1248,
APINAYE,APINAYE,apin1244,
APMA,APMA,apma1240,
APURINA,APURINA,apur1254,
APUTAI,APUTAI,aput1237,
AP_MA,AP_MA,apma1241,
ARABANA,ARABANA,arab1267,
ARABELA,ARABELA,arab1268,
ARABIC_CYPRIOT_SPOKEN,ARABIC_CYPRIOT_SPOKEN,cypr1248,
ARABIC_LIBYAN_SPOKEN,ARABIC_LIBYAN_SPOKEN,liby1240,
ARABIC_QURANIC,ARABIC_QURANIC,stan1318,
ARAGONESE,ARAGONESE,arag1245,
ARAKI,ARAKI,arak1252,
ARAMAIC,ARAMAIC,chal1275,
ARAMAIC_ANCIENT,ARAMAIC_ANCIENT,olda1246,
ARAMMBA,ARAMMBA,aram1253,
ARANDAI_TAROF,ARANDAI_TAROF,aran1237,
ARAONA,ARAONA,arao1248,
ARAPAHO,ARAPAHO,arap1274,
ARARA_DO_PARA,ARARA_DO_PARA,para1310,
ARARA_PANO,ARARA_PANO,pano1254,
ARAWE,ARAWE,solo1258,
ARAWETE,ARAWETE,araw1273,
ARAWUM,ARAWUM,araw1272,
ARBORE,ARBORE,arbo1245,
ARCHI,ARCHI,arch1244,
ARE,ARE,aree1239,
ARGOBBA,ARGOBBA,argo1244,
ARGUNI,ARGUNI,argu1237,
ARI,ARI,aari1239,
ARIBWATSA,ARIBWATSA,arib1241,
ARIEPI,ARIEPI,nucl1454,
ARIGIDI,ARIGIDI,arig1246,
ARIKAPU,ARIKAPU,arik1265,
ARIKARA,ARIKARA,arik1262,
ARIKEM,ARIKEM,arik1264,
ARIN,ARIN,arin1243,
ARINGA,ARINGA,arin1244,
ARMENIAN,ARMENIAN,nucl1235,
ARMENIAN_CLASSICAL,ARMENIAN_CLASSICAL,clas1249,
ARO,ARO,torr1259,
AROP_SISSANO,AROP_SISSANO,arop1242,
ARPITAN,ARPITAN,fran1260,
ARTA,ARTA,arta1239,
ARUAMU,ARUAMU,arua1260,
ARUEK,ARUEK,arue1240,
AS,AS,asss1237,
ASARO7O,ASARO7O,asar1240,
ASAS,ASAS,asas1240,
ASHANINKA,ASHANINKA,asha1243,
ASHENINKA,ASHENINKA,pich1237,
ASHENINKA_PAJONAL,ASHENINKA_PAJONAL,ashe1273,
ASHENINKA_UCAYALI_YURUA,ASHENINKA_UCAYALI_YURUA,ucay1237,
ASHKUN,ASHKUN,ashk1246,
ASIENARA,ASIENARA,buru1308,
ASILULU,ASILULU,asil1242,
ASMATH_NORTH,ASMATH_NORTH,nort2917,
ASMAT_CENTRAL,ASMAT_CENTRAL,cent2117,
ASMAT_YAOSAKOR,ASMAT_YAOSAKOR,yaos1235,
ASOA,ASOA,asoa1238,
ASSAMESE,ASSAMESE,assa1263,
ASSANGORI,ASSANGORI,assa1269,
ASSINIBOINE,ASSINIBOINE,assi1247,
ASTURIAN,ASTURIAN,astu1245,
ASUMBOA,ASUMBOA,asum1237,
ASURINI,ASURINI,toca1235,
ASURINI_XINGU,ASURINI_XINGU,xing1248,
ASU_NIGERIA,ASU_NIGERIA,asun1235,
ATAKAPA,ATAKAPA,atak1252,
ATALLA,ATALLA,ayac1239,
ATATLAHUCA_MIXTEC,ATATLAHUCA_MIXTEC,atat1238,
ATAYAL,ATAYAL,atay1247,
ATEMPLE,ATEMPLE,atem1241,
ATHPARE,ATHPARE,athp1241,
ATIKAMEKW,ATIKAMEKW,atik1240,
ATITLAN_MIXE,ATITLAN_MIXE,nort2939,
ATORAI_20TH_CENTURY,ATORAI_20TH_CENTURY,ator1244,
ATSAM,ATSAM,atsa1241,
ATSUGEWI,ATSUGEWI,atsu1245,
ATTA_PAMPLONA,ATTA_PAMPLONA,pamp1244,
ATTIE,ATTIE,atti1239,
ATTOCK,ATTOCK,sout2668,
AU,AU,auuu1241,
AUA,AUA,imbo1238,
AUCHI,AUCHI,yekh1238,
AUKAN,AUKAN,ndyu1242,
AULUA,AULUA,aulu1238,
AUNI,AUNI,huaa1248,
AUSHI,AUSHI,aush1241,
AUWE,AUWE,auwe1239,
AUYANA,AUYANA,awiy1238,
AVAR,AVAR,avar1256,
AVAU,AVAU,avau1237,
AVA_CANOEIRO,AVA_CANOEIRO,avac1239,
AVESTAN,AVESTAN,aves1237,
AVIKAM,AVIKAM,avik1243,
AWA,AWA,awap1236,
AWABAKAL,AWABAKAL,awab1243,
AWADHI,AWADHI,awad1243,
AWAK,AWAK,awak1250,
AWAKE,AWAKE,arut1244,
AWAR,AWAR,awar1249,
AWARA,AWARA,awar1248,
AWA_PIT,AWA_PIT,awac1239,
AWBONO,AWBONO,awbo1238,
AWEER,AWEER,awee1242,
AWERA,AWERA,awer1241,
AWETI,AWETI,awet1244,
AWING,AWING,awin1248,
AWJI,AWJI,awyi1241,
AWJILAH,AWJILAH,awji1241,
AWNGI,AWNGI,awng1244,
AWTUW,AWTUW,awtu1239,
AWUN,AWUN,awun1245,
AWYU_ASUE,AWYU_ASUE,asue1235,
AWYU_CENTRAL_TAIM,AWYU_CENTRAL_TAIM,cent2118,
AXAMB,AXAMB,axam1237,
AYAPANECO,AYAPANECO,taba1264,
AYERE,AYERE,ayer1245,
AYIWO,AYIWO,ayiw1239,
AYIZO_GBE,AYIZO_GBE,ayiz1245,
AYNU,AYNU,ainu1251,
AYOQUESCO_ZAPOTEC,AYOQUESCO_ZAPOTEC,ayoq1235,
AYOREO,AYOREO,ayor1240,
AYTA_ABELLEN,AYTA_ABELLEN,aben1249,
AYU,AYU,ayuu1242,
AYUTLA_MIXE,AYUTLA_MIXE,tlah1239,
AZERA,AZERA,adze1240,
AZERBAIJANI,AZERBAIJANI,nort2697,
AZERBAIJANI_SOUTHERN,AZERBAIJANI_SOUTHERN,sout2697,
AZOYU_TLAPANEC,AZOYU_TLAPANEC,azoy1236,
A_TONG,A_TONG,aton1241,
B312_HIMBA,B312_HIMBA,zemb1238,
B77a_KUKUYA_2,B77a_KUKUYA_2,teke1280,
BAALE,BAALE,kaci1244,
BAATONUM,BAATONUM,baat1238,
BABA,BABA,baba1264,
BABALIA_CREOLE_ARABIC,BABALIA_CREOLE_ARABIC,char1283,
BABANGO,BABANGO,baba1263,
BABANKI,BABANKI,baba1266,
BABUYAN,BABUYAN,ibat1238,
BACAMA,BACAMA,baca1246,
BACANESE_MALAY,BACANESE_MALAY,baca1243,
BADA,BADA,bada1258,
BADA_INDONESIA,BADA_INDONESIA,bada1261,
BADE,BADE,bade1248,
BADGA,BADGA,bada1257,
BADIMAYA,BADIMAYA,badi1246,
BADJIRRI,BADJIRRI,badj1244,
BAETORA,BAETORA,baet1237,
BAFANJI,BAFANJI,bafa1249,
BAFAW,BAFAW,bafa1247,
BAFIA,BAFIA,bafi1243,
BAFUT,BAFUT,bafu1246,
BAGA_BINARI,BAGA_BINARI,baga1275,
BAGA_FORE,BAGA_FORE,mbul1258,
BAGA_KOBA,BAGA_KOBA,baga1273,
BAGA_MADURI,BAGA_MADURI,baga1270,
BAGA_SITEMU,BAGA_SITEMU,baga1272,
BAGHELI,BAGHELI,bagh1251,
BAGIRMI,BAGIRMI,bagi1246,
BAGIRMI_FULFULDE,BAGIRMI_FULFULDE,bagi1244,
BAGO_KUSUNTU,BAGO_KUSUNTU,bago1245,
BAGRI,BAGRI,bagr1243,
BAGUPI,BAGUPI,bagu1252,
BAGUSA,BAGUSA,bagu1251,
BAGWALAL,BAGWALAL,bagv1239,
BAHINEMO,BAHINEMO,bahi1254,
BAHING,BAHING,bahi1252,
BAHNAR,BAHNAR,bahn1262,
BAHRAIN_ARABIC,BAHRAIN_ARABIC,baha1259,
BAHUANA,BAHUANA,xiri1243,
BAI,BAI,baii1251,
BAIBAI,BAIBAI,baib1251,
BAIKENO,BAIKENO,baik1238,
BAIMAK,BAIMAK,baim1245,
BAISO,BAISO,bais1246,
BAJAU_WEST_COAST,BAJAU_WEST_COAST,west2560,
BAKA,BAKA,baka1272,
BAKAIRI,BAKAIRI,baka1277,
BAKAKA,BAKAKA,baka1273,
BAKA_SUDAN,BAKA_SUDAN,baka1274,
BAKHTIARI,BAKHTIARI,bakh1245,
BAKI,BAKI,baki1244,
BAKOKO,BAKOKO,bako1249,
BAKOLE,BAKOLE,bako1250,
BAKPINKA,BAKPINKA,bakp1238,
BAKWE,BAKWE,bakw1243,
BALADE,BALADE,bala1316,
BALAESANG,BALAESANG,bala1314,
BALANGAW,BALANGAW,bala1310,
BALANGINGI_SAMA,BALANGINGI_SAMA,bala1311,
BALANTA,BALANTA,bala1301,
BALANTA_FCA,BALANTA_FCA,bala1302,
BALEP,BALEP,ndoe1238,
BALESE,BALESE,lese1243,
BALI,BALI,bali1278,
BALI_2,BALI_2,bali1245,
BALI_VITU,BALI_VITU,unea1237,
BALO,BALO,balo1264,
BALOCHI_EASTERN,BALOCHI_EASTERN,east2304,
BALOCHI_WESTERN,BALOCHI_WESTERN,west2368,
BALOI,BALOI,balo1261,
BALUAN_PAM,BALUAN_PAM,balu1257,
BAMBALANG,BAMBALANG,bamb1265,
BAMBARA,BAMBARA,bamb1269,
BAMBASSI,BAMBASSI,bamb1262,
BAMBILI,BAMBILI,bamb1266,
BAMENYAM,BAMENYAM,bame1260,
BAMU,BAMU,bamu1257,
BAMUKUMBIT,BAMUKUMBIT,bamu1254,
BAMUN,BAMUN,bamu1253,
BAMWE,BAMWE,bamw1238,
BANA,BANA,bana1305,
BANARO,BANARO,bana1292,
BANAWA,BANAWA,jama1261,
BANDA_YANGERE,BANDA_YANGERE,band1348,
BANDI,BANDI,band1352,
BANDIAL,BANDIAL,band1340,
BANGALA,BANGALA,bang1353,
BANGANDU,BANGANDU,bang1347,
BANGBA,BANGBA,bang1345,
BANGGAI,BANGGAI,bang1368,
BANGGARLA,BANGGARLA,bang1339,
BANGI,BANGI,bang1354,
BANGI_ME,BANGI_ME,bang1363,
BANGOLAN,BANGOLAN,bang1356,
BANIWA,BANIWA,bani1255,
BANJARESE_MALAY,BANJARESE_MALAY,banj1239,
BANKA,BANKA,bank1258,
BANKALA,BANKALA,bank1257,
BANKAN_TEY,BANKAN_TEY,bank1259,
BANKON,BANKON,bank1256,
BANNA,BANNA,hame1242,
BANONI,BANONI,bann1247,
BANTAWA,BANTAWA,bant1281,
BANTIK,BANTIK,bant1286,
BANTON_BANTOANON,BANTON_BANTOANON,bant1288,
BAN_OGOI,BAN_OGOI,baan1241,
BARA,BARA,waim1255,
BARAI,BARAI,nucl1630,
BARAMBU,BARAMBU,bara1361,
BARAPASI,BARAPASI,bara1375,
BARASANO,BARASANO,bara1380,
BARDI,BARDI,bard1255,
BARE,BARE,bare1276,
BAREE,BAREE,pamo1252,
BAREIN,BAREIN,bare1279,
BARIAI,BARIAI,bari1286,
BARIM,BARIM,karn1252,
BARIO_KELABIT,BARIO_KELABIT,kela1258,
BARI_COLUMBIA,BARI_COLUMBIA,bari1297,
BAROK,BAROK,baro1253,
BAROMBI,BAROMBI,baro1252,
BARRANBIYA,BARRANBIYA,barr1252,
BARUYA,BARUYA,baru1267,
BASAA,BASAA,basa1284,
BASAY,BASAY,basa1287,
BASHKARDI,BASHKARDI,bash1263,
BASHKIR,BASHKIR,bash1264,
BASKETO,BASKETO,bask1236,
BASQUE,BASQUE,basq1248,
BASSA,BASSA,nucl1418,
BASSARI,BASSARI,ntch1242,
BASSA_KONTAGORA,BASSA_KONTAGORA,bass1259,
BATAK,BATAK,bata1301,
BATAK_ANGKOLA,BATAK_ANGKOLA,bata1290,
BATAK_DAIRI,BATAK_DAIRI,bata1294,
BATAK_MANDAILING,BATAK_MANDAILING,bata1291,
BATAK_SIMALUNGEN,BATAK_SIMALUNGEN,bata1288,
BATANGA,BATANGA,bata1285,
BATA_ALAS_KLUET,BATA_ALAS_KLUET,bata1292,
BATA_ZUMU,BATA_ZUMU,bata1314,
BATEK_DEQ,BATEK_DEQ,bate1262,
BATS,BATS,bats1242,
BATULEY,BATULEY,batu1258,
BATWA,BATWA,xegw1238,
BAU,BAU,bauu1244,
BAULE,BAULE,baou1238,
BAURE,BAURE,baur1253,
BAUWAKI,BAUWAKI,bauw1240,
BAUZI,BAUZI,bauz1241,
BAVARIAN_GERMAN,BAVARIAN_GERMAN,bava1246,
BAWM,BAWM,bawm1236,
BAYALI,BAYALI,baya1257,
BAYGO,BAYGO,bayg1239,
BAYNUNK_GUBHER,BAYNUNK_GUBHER,bain1259,
BAYNUNK_TOBOR,BAYNUNK_TOBOR,bain1261,
BAYONO,BAYONO,bayo1260,
BAYOT,BAYOT,bayo1255,
BEAMI,BEAMI,beam1240,
BEAVER,BEAVER,beav1236,
BEBA,BEBA,beba1238,
BEDIK,BEDIK,bedi1235,
BEELE,BEELE,beel1236,
BEEZEN,BEEZEN,beez1238,
BEGBERE_EJAR,BEGBERE_EJAR,begb1241,
BEJA,BEJA,beja1238,
BEJOND,BEJOND,bedj1245,
BEKATI,BEKATI,beka1241,
BEKWARRA,BEKWARRA,bekw1241,
BELAIT,BELAIT,bela1260,
BELANDA_BOR,BELANDA_BOR,bela1256,
BELANDA_VIRI,BELANDA_VIRI,bela1255,
BELARUSIAN,BELARUSIAN,bela1254,
BELHARE,BELHARE,belh1239,
BELI,BELI,beli1258,
BELIZE_KRIOL_ENGLISH,BELIZE_KRIOL_ENGLISH,beli1260,
BELLA_COOLA,BELLA_COOLA,bell1243,
BEMAL,BEMAL,kein1239,
BEMBA,BEMBA,bemb1257,
BEMBE,BEMBE,beem1239,
BEMBE_BMB,BEMBE_BMB,bemb1255,
BENA,BENA,bena1262,
BENABENA,BENABENA,bena1264,
BENDE,BENDE,bend1258,
BENDI,BENDI,bend1260,
BENERAF,BENERAF,bone1255,
BENG,BENG,beng1286,
BENGA,BENGA,beng1282,
BENGALI,BENGALI,beng1280,
BEN_TEY_DOGON,BEN_TEY_DOGON,bent1238,
BEOTHUK,BEOTHUK,beot1247,
BEPOUR,BEPOUR,bepo1240,
BERBICE_DUTCH_CREOLE,BERBICE_DUTCH_CREOLE,berb1259,
BERIA,BERIA,zagh1240,
BERIK_3,BERIK_3,beri1254,
BERINOMO,BERINOMO,beri1253,
BERTA,BERTA,bert1248,
BERTI,BERTI,bert1249,
BESME,BESME,besm1235,
BETAF,BETAF,beta1253,
BETAWI,BETAWI,beta1252,
BETE_DALOA,BETE_DALOA,dalo1238,
BETE_GUIBEROUA,BETE_GUIBEROUA,guib1246,
BETTA_KURUMBA,BETTA_KURUMBA,bett1235,
BEZHTA,BEZHTA,bezh1248,
BHADRAWAHI,BHADRAWAHI,bhad1241,
BHATRI,BHATRI,bhat1265,
BHATTIYALI,BHATTIYALI,bhat1263,
BHOJPURI,BHOJPURI,bhoj1244,
BIAFADA,BIAFADA,biaf1240,
BIAK,BIAK,biak1248,
BIALI,BIALI,bial1238,
BIANGAI,BIANGAI,bian1252,
BIATAH_BIDAYUH,BIATAH_BIDAYUH,biat1246,
BIBLICAL_HEBREW,BIBLICAL_HEBREW,anci1244,
BIDIYA,BIDIYA,bidi1241,
BIDJARA,BIDJARA,bidy1243,
BIEM,BIEM,biem1237,
BIEREBO_TAVIO,BIEREBO_TAVIO,bier1244,
BIERIA_VOVO,BIERIA_VOVO,bier1246,
BIGA,BIGA,biga1238,
BIGAMBAL,BIGAMBAL,biga1237,
BIG_NAMBAS_UNMET,BIG_NAMBAS_UNMET,bign1238,
BIJOGO,BIJOGO,bidy1244,
BIKARU,BIKARU,biso1243,
BILAAN_KORONADAL,BILAAN_KORONADAL,koro1310,
BILAAN_SARANGANI,BILAAN_SARANGANI,sara1326,
BILAKURA,BILAKURA,bila1257,
BILBIL,BILBIL,bilb1241,
BILE,BILE,bile1244,
BILIAU,BILIAU,awad1244,
BILIN,BILIN,bili1260,
BILMA_KANURI,BILMA_KANURI,bilm1238,
BILOXI,BILOXI,bilo1248,
BILUA,BILUA,bilu1245,
BILUR,BILUR,bilu1244,
BIMA,BIMA,bima1247,
BIMIN,BIMIN,bimi1240,
BIMOBA,BIMOBA,bimo1239,
BINA,BINA,bina1271,
BINAHARI,BINAHARI,bina1275,
BINANDERE,BINANDERE,bina1277,
BINE_KUNINI,BINE_KUNINI,bine1240,
BINTULU,BINTULU,bint1246,
BINUKID,BINUKID,binu1244,
BINUMARIEN,BINUMARIEN,binu1245,
BIORI_PHALURA,BIORI_PHALURA,phal1254,
BIPI,BIPI,bipi1237,
BIRA,BIRA,bera1259,
BIRA_BIP,BIRA_BIP,bila1255,
BIRGIT,BIRGIT,birg1239,
BIRHOR,BIRHOR,birh1242,
BIRI,BIRI,biri1256,
BIRIFOR_SOUTHERN,BIRIFOR_SOUTHERN,sout2790,
BIRITAI,BIRITAI,biri1259,
BIRKED,BIRKED,birk1242,
BIRRDHAWAL,BIRRDHAWAL,gana1268,
BIRRI_C_AFRICAN_REP,BIRRI_C_AFRICAN_REP,birr1240,
BISA,BISA,biss1248,
BISAYA_BRUNEI,BISAYA_BRUNEI,brun1245,
BISAYA_SABAH,BISAYA_SABAH,saba1267,
BISENI,BISENI,bise1238,
BISIS,BISIS,bisi1244,
BISLAMA,BISLAMA,bisl1239,
BISU,BISU,bisu1244,
BIT,BIT,bitt1240,
BIWAT,BIWAT,biwa1243,
BIYOM,BIYOM,biyo1244,
BIYUE,BIYUE,biyo1243,
BLABLANGA,BLABLANGA,blab1237,
BLACKFOOT,BLACKFOOT,siks1238,
BLACK_THAI,BLACK_THAI,taid1247,
BLAGAR,BLAGAR,blag1240,
BLE,BLE,jalk1242,
BO,BO,bopa1235,
BOANO,BOANO,boan1243,
BOAZI,BOAZI,kuni1265,
BOA_BUTA,BOA_BUTA,bwaa1238,
BOBOT,BOBOT,bobo1254,
BODE_DOEI,BODE_DOEI,duwa1244,
BODO,BODO,bodo1272,
BODO_GADABA,BODO_GADABA,bodo1267,
BODO_INDIA,BODO_INDIA,bodo1269,
BOFI,BOFI,bofi1238,
BOGA,BOGA,boga1251,
BOGAYA,BOGAYA,boga1247,
BOGHOM,BOGHOM,bogh1241,
BOIKIN,BOIKIN,boik1241,
BOKAR,BOKAR,bori1243,
BOKI,BOKI,boky1238,
BOKO,BOKO,boko1266,
BOKOBARU,BOKOBARU,boko1267,
BOKOTO,BOKOTO,boko1261,
BOKO_DRC,BOKO_DRC,boko1263,
BOLA,BOLA,bola1250,
BOLE,BOLE,nucl1695,
BOLGO,BOLGO,bolg1251,
BOLIA,BOLIA,boli1255,
BOLIANO,BOLIANO,boli1256,
BOLO,BOLO,bolo1261,
BOLON,BOLON,bolo1266,
BOLONDO,BOLONDO,bolo1263,
BOLONGAN,BOLONGAN,bolo1268,
BOM,BOM,anja1238,
BOMA,BOMA,boma1246,
BOMBOMA,BOMBOMA,bomb1262,
BOMU,BOMU,bomu1247,
