Glottocode	Doculect
cent2004	ERYUAN_BAI
cent2009	FUSUI_CENTRAL_HONGSHUIHE_ZHUANG
cent2018	CENTRAL_EASTERN_NIGER_FULFULDE
cent2050	KANURI
cent2053	BESEMAH
cent2058	CENTRAL_MAEWO
cent2072	CENTRAL_MASELA
cent2074	SOA
cent2084	AGTA
cent2087	NAGA
cent2089	SUBANUN_SINDANGAN
cent2090	CENTRAL_TAGBANWA
cent2091	QUEZON_PALAWAN
cent2092	SAMAL
cent2098	CENTRAL_BERAWAN
cent2100	KADAZAN
cent2101	MUKAH_MELANAU
cent2117	ASMAT_CENTRAL
cent2118	AWYU_CENTRAL_TAIM
cent2126	NAHA
cent2127	C_YUPIK
cent2128	CENTRAL_SIBERIAN_YUPIK
cent2131	CENTRAL_TARAHUMARA
cent2132	NAHUATL_SAN_MIGUEL_AYOTLA
cent2134	NAHUATL_CHICONTEPEC
cent2138	POMO_CENTRAL
cent2140	CENTRAL_SIERRA_MIWOK
cent2142	PUKI
cent2144	MAZAHUA
cent2150	TUNEBO
cent2194	FIGUIG
cent2292	CENTRAL_BONTOC
cerm1238	KIRMA
chac1249	CAYAPA
chac1250	QUECHUA_CHACHAPOYAS
chac1251	CHACOBO
chad1249	NIGERIAN_ARABIC
chak1266	CHAKMA_UNNAMEDINSOURCE
chak1271	CHAKALI
chal1275	ARAMAIC
cham1309	CHAMALAL
cham1312	CHAMORRO
cham1313	CHAMBRI_4
cham1315	CHAMACOCO
cham1318	CHAMICURO
chan1310	CHANTYAL
chan1313	CHANG
chan1319	CHANGRIWA
char1269	CHARA_2
chau1259	CHAUDANGSI
chay1248	CHAYAHUITA
chay1249	MIXTEC_CHAYUCO
chec1245	CHECHEN_2
chee1238	CE
chek1238	CHEKE_HOLO
chen1259	CHENAPIAN
chen1266	CHENOUA
chep1245	CHEPANG
cher1273	CHEROKEE
chew1245	CEQ_WONG
chey1247	CHEYENNE
chhi1245	CHHINTANGE
chia1262	CHIAPANEC
chib1270	CHIBCHA
chic1270	CHICKASAW
chic1271	CHICOMUCELTEC
chic1272	CHICHIMECO
chic1273	TRIQUI_CHICAHUAXTLA
chig1238	CHIGA
chil1275	CHILISSO
chil1280	CHILCOTIN
chim1300	MARIA_CHIMALAPA
chim1301	CHIMARIKO
chim1302	TROJE
chim1309	CHIMILA
chip1241	CHIPPEWA
chip1261	CHIPEWYAN
chip1262	CHIPAYA
chiq1248	CHIQUITANO
chiq1249	QUECHUA_ANCASH_CHIQUIAN
chiq1250	MAZATEC_CHIQUIHUITLAN
chit1248	CHITIMACHA
chit1274	CHITWAN
choa1237	CHOAPAN_ZAPOTEC
choc1276	CHOCTAW
choc1279	CHOCHOTEC
chok1243	NAGA_CHOKRI
chok1245	CHOKWE
chol1282	CHOL_TILA
chol1284	CHOLON
chon1284	KASONG
chon1287	CHONYI
chor1273	CHORTI
chot1239	CHOTHE
chra1242	CHRAU
chru1239	CHRU
chua1256	DANANSHAN_HMONG
chuj1250	CHUJ
chuk1273	CHUKCHEE
chuk1274	CHUKA_2
chum1261	CHUMBURUNG
chur1257	OLD_CHURCH_SLAVONIC
chut1247	RUC_2
chuu1238	TRUKESE
chuv1255	CHUVASH_2
chuw1238	CHUWABU
ciac1237	MASIRI
ciba1236	CIBAK
cici1237	CICIPU
cimb1238	CIMBRIAN
cind1241	REGI
cine1238	CINENI
cint1239	CINTA_LARGA
cish1238	CISHINGINI
cita1245	CITAK
clal1241	CLALLAM
clas1249	ARMENIAN_CLASSICAL
clas1250	CLASSICAL_NAHUATL
clas1252	SYRIAC
clas1253	CLASSICAL_MANDAIC
clel1238	LELA
coas1295	KONJO
coas1301	OLAMENTKE
coat1238	LOWLAND_MIXE
coat1240	NAHUATL_COATEPEC_COSTALES
coca1259	KOKAMA
coch1272	COCHIMI
coeu1236	COEUR_DALENE
cofa1242	COFAN
cogu1240	KOGUI
colo1256	COLORADO
colu1241	COLUMBIA_WENATCHI
coma1245	COMANCHE
come1251	COMECRUDO
como1259	SLIAMMON
cond1242	GIDABAL
coos1249	HANIS_COOS
copa1236	CHIAPAS_ZOQUE
copa1237	TRIQUI_COPALA
copt1239	COPTIC
corn1251	CORNISH
coro1247	YANAC
cors1241	CORSICAN
cota1241	MANOBO_KALAMANSIG_COTABATO
cowl1242	COWLITZ
coyo1236	POPOLOCA_DE_SAN_VICENTE_COYOTEPEC
cree1270	CREEK
crim1257	CRIMEAN_TATAR
croa1245	CROATIAN_2
cros1244	MBEMBE
crow1244	CROW
cuaa1241	CUA
cube1242	CUBEO
cuib1242	CUIBA
culi1244	MADIJA
cung1238	CUNG
cunn1236	CUN
cupe1243	CUPENO
curr1243	CURRIPACO
cusc1236	CUZCO_GNL
cuvo1236	CUVOK
cuyo1237	CUYONON
czec1258	CZECH
daak1235	DAA
daas1238	DAASANACH
dabe1239	DABE
dadi1250	DARIBI
daga1275	DAGA_2
dagb1246	DAGBANI
dagb1248	DAGBA
dagi1241	DENGEBU
daha1245	DAHALO_2
daii1240	DAI
daka1243	DAKAKA_BAIAP
dako1258	DAKOTA
dalm1243	DALMATIAN
dalo1238	BETE_DALOA
dama1267	DAMA
damb1246	DAMBI
dame1241	DAMELI_2
damp1237	DAMPELAS
dana1252	DANAW
dana1254	DANARU
dand1238	SOUTH_BASTAR_GONDI
dang1260	DANG
dani1285	DANISH
dano1240	ASARO
daon1243	DAONDA
darf1239	NYALA
darg1241	DARGWA
dari1249	EASTERN_FARSI
darl1243	DARLING
darm1243	DARMIYA
daro1239	DARO_MATU
dars1235	SILA
dass1243	DASS_DWAT
dato1239	DATOOGA_DIALECT_3
daur1238	DAUR
dawa1242	DAWAWA
dawe1237	DAWERA_DAWELOOR
dawr1236	KULLO
daww1239	DAW
dayi1244	DALWONGO
dayy1236	DAY
daza1242	DAZAGA
dedu1240	DEDUA
defa1248	DEFAKA
dege1246	DEGEMA_2
dege1247	DEGENAN
degg1238	DEG
dehu1237	DEHU
demt1241	DEMTA
dend1243	DENDI
deng1250	C81_DENGESE
deni1241	DENI
deny1238	DENYA_BASHO
deor1238	DEURI
dera1245	MONGOWAR
dera1248	DERA
desa1247	DESANO
dghw1239	DGHWEDE
dhai1238	DHAISO
dhan1270	YOLNGUMATHA
dhao1237	DHAO
dhar1248	DHARUMBAL
dhim1246	DHIMAL
dhiv1236	MALDIVIAN
dhof1235	DHOFARI_ARABIC
dhun1238	DHUNDARI
diba1242	MANOBO_DIBABAWON
dibi1240	DIBIYASO
dibo1245	DZEKE_DIBOLE
dibo1247	DIBO_2
didi1258	DIDINGA
dido1241	TSEZ
dier1241	DIYARI
diga1241	TARAON
digo1243	DIGO_2
diii1241	YAG_DII
dill1242	DILLING
dima1251	DIMASA
dima1252	DIMA
dime1235	DIME
dimi1244	DIMIR
diml1238	ZAZAKI
ding1239	PIIN
diod1237	DIODIO
dira1242	GIDOLE_2
diri1252	DIRIKU
dita1238	DITAMMARI
diti1235	DITIDAHT
dixo1238	DIXON_REEF_1
dizi1235	MAJI
djam1255	DJAMINDJUNG
djam1256	DJAMBARRPUYNGU
djau1244	DJAUAN
djee1236	DJEEBBANA
djeo1235	JABUTI
djim1235	DYIMINI
djin1251	DJINGILI
djin1252	DJINBA
djin1253	DJINANG
dobe1238	DOBEL
dobu1241	DOBU
doee1238	DOE_3
dogo1295	DOGOSE
dogr1252	DOGRIB
doko1243	DOKO_UYANGA
dolg1241	DOLGAN
doma1258	DOMARI
domm1246	DOM
domp1238	DOMPO
domu1245	DOMU
dond1249	DONDO
dong1285	SANTA_MONGOLIAN
dong1288	NUBIAN_OF_DONGOLA
dong1290	DONGO
dong1293	DONG
dong1294	DONGOTONO
donn1239	DONNO_SO_3
dori1246	DORIO
doro1266	DOROMU
dorz1235	DORZE
doso1239	DOSO
dout1240	DOUTAI
doya1240	DOOHWAAYAAYO
drun1238	DRUNG
dual1243	DUALA
dubu1240	DUBU_2
dudu1240	DUDUELA
dugu1248	PAPE
dugu1249	DUGURI
dugw1239	DUGWOR_2
duhw1236	DUHWA
duke1237	DUKE
duma1253	DUMA_2
dumi1241	DUMI_2
dump1243	DUMPU
duna1248	DUNA
dung1253	DUNGAN
dupa1235	DUPANINGAN_AGTA
duru1236	PARJI_2
duru1249	DURUMA
dusn1237	DUSNER
dusu1267	DUSUN_WITU
dusu1269	DUSUN_MALANG
dusu1271	DUSUN_DEYAH
dutc1256	DUTCH
duun1242	DUUNGOMA_2
duvl1242	DUVLE
duwe1237	DUWET
dwan1238	DWANG
dyaa1242	DYAABUGAY
dyan1250	DYANGADI
dyan1251	DYAN
dyul1238	JULA_DE_KONG
dzaa1238	JENJO
dzao1238	DAPING_MIEN
dzod1238	DZODINKA
dzon1239	DZONGKHA
dzuu1241	DZUUNGOO
east1236	KATU_EASTERN
east1472	SANTA_ANA_KERES
east2295	YIDDISH_EASTERN
east2304	BALOCHI_EASTERN
east2328	MEADOW_MARI
east2330	WIANG_PA_PAO_LUA
east2332	BRU
east2333	KUAN
east2342	KAYAH_LI_EASTERN
east2346	EASTERN_TAMANG
east2347	TAMANG
east2352	MAGAR_2
east2379	ARRERNTE_EASTERN
east2387	EAST_LIMBA
east2403	SEGEMUK
east2409	EASTERN_NYALA
east2426	MANINKAKAN_EASTERN
east2440	TAHANE
east2443	EAST_AMBAE_WAILENGI
east2447	EAST_FUTUNA
east2462	EAST_MASELA
east2472	EAST_DAMAR
east2486	EAST_BERAWAN
east2534	INUKTITUT_EASTERN_CANADIAN
east2538	NAHUATL_BUENOS_AIRES_ALAMO
east2542	OJIBWA_EASTERN
east2544	ABNAKI_EASTERN
east2545	POMO_EASTERN
east2555	CHIRIGUANO
east2556	OTOMI_DE_EL_BAILE
east2563	CHAM_EASTERN
east2652	EASTERN_OROMO
ebir1243	IGBIRRA
ebri1238	EBRIE_2
ebug1241	EBUGHU
eder1237	SJIAGHA
edol1239	EDOLO
edop1238	EDOPI
efai1241	EFAI
efik1245	EFIK_2
efut1242	EFUTOP
egaa1242	EGA
eggo1239	EGGON
egyp1253	CAIRO_ARABIC
eipo1242	EIPOMEK
eiti1240	EITIEP
ejag1239	EJAGHAM
